"_id","rank","song","singer"
"619f81f7a85a684884698cdf","1","小雨天气","yihuik苡慧/嘿人李逵Noisemakers/十七草"
"619f81f7a85a684884698ce0","2","删了吧 - (要不你还是把我删了吧)","烟(许佳豪)"
"619f81f7a85a684884698ce1","3","Boy","Reol"
"619f81f7a85a684884698ce2","4","Shivers (feat. Jessi & SUNMI)","Ed Sheeran/Jessi/宣美"
"619f81f7a85a684884698ce3","5","是谁","颜人中"
"619f81f7a85a684884698ce4","6","月亮爱过日落","yihuik苡慧"
"619f81f7a85a684884698ce5","7","哭泣站台","王小帅"
"619f81f7a85a684884698ce6","8","too much","kinkis"
"619f81f7a85a684884698ce7","9","路过人间","郁可唯"
"619f81f7a85a684884698ce8","10","ギターウサギ","菅田将暉"
"619f81f7a85a684884698ce9","11","还是劈开","张叶蕾/全体诺克萨斯国战士"
"619f81f7a85a684884698cea","12","Tong Poo for JUNYA WATANABE","坂本龍一"
"619f81f7a85a684884698ceb","13","还是会想你","林达浪/h3R3"
"619f81f7a85a684884698cec","14","第三人","Fine乐团"
"619f81f7a85a684884698ced","15","总想你","凡清"
"619f81f7a85a684884698cee","16","示弱","赵嘉遇"
"619f81f7a85a684884698cef","17","Bad Habits","Ed Sheeran"
"619f81f7a85a684884698cf0","18","艺术家","MaySeventeen"
"619f81f7a85a684884698cf1","19","ハート - (日剧《只是在结婚申请书上盖了章》主题歌)","あいみょん"
"619f81f7a85a684884698cf2","20","遗失海域","范倪Liu"
"619f81f7a85a684884698cf3","21","靠近","赖仔Morris"
"619f81f7a85a684884698cf4","22","解药","高宇Slient"
"619f81f7a85a684884698cf5","23","还可以","Jony J"
"619f81f7a85a684884698cf6","24","ON MY WAY HOME(Prod by TtoneHowUFeel)","Katastic/TtoneHowUFeel"
"619f81f7a85a684884698cf7","25","它们笑着","7Z"
"619f81f7a85a684884698cf8","26","行走","家园计划/李杰/罗曼姑娘/阿南达组合/游牧人组合/侗族吴俊龙/欧智卓玛"
"619f81f7a85a684884698cf9","27","渔","王欣宇/张钰"
"619f81f7a85a684884698cfa","28","洛杉矶","LBI利比"
"619f81f7a85a684884698cfb","29","Ot","Mutallip Ahat"
"619f81f7a85a684884698cfc","30","问风","金渔"
"619f81f7a85a684884698cfd","31","秒针","阿梨粤"
"619f81f7a85a684884698cfe","32","偏爱和例外","烟(许佳豪)"
"619f81f7a85a684884698cff","33","呓语","毛不易"
"619f81f7a85a684884698d00","34","如果呢（女声版）","yihuik苡慧"
"619f81f7a85a684884698d01","35","如果呢","郑润泽"
"619f81f7a85a684884698d02","36","还好","李上安"
"619f81f7a85a684884698d03","37","STAY","The Kid LAROI/Justin Bieber"
"619f81f7a85a684884698d04","38","3:15 (Breathe)","Russ"
"619f81f7a85a684884698d05","39","Shivers","Ed Sheeran"
"619f81f7a85a684884698d06","40","没有人知道，所以","鞠起"
"619f81f7a85a684884698d07","41","New Boy","房东的猫/陈婧霏"
"619f81f7a85a684884698d08","42","Peaches","Justin Bieber/Daniel Caesar/Giveon"
"619f81f7a85a684884698d09","43","Lale","MOMINJAN_ABLIKIM穆明江"
"619f81f7a85a684884698d0a","44","冬天的秘密 - (女声版)","戴羽彤"
"619f81f7a85a684884698d0b","45","Get Into It (Yuh)","Doja Cat"
"619f81f7a85a684884698d0c","46","Right on Time - (正逢其时)","Brandi Carlile"
"619f81f7a85a684884698d0d","47","零点又十分","业成/逸霄"
"619f81f7a85a684884698d0e","48","森のくまさん","あいみょん"
"619f81f7a85a684884698d0f","49","人间便利店","董相麟/喜百音Hit Melody"
"619f81f7a85a684884698d10","50","我不是唯一","杨豪"
"619f81f7a85a684884698d11","51","成长 (Older)","Alec Benjamin"
"619f81f7a85a684884698d12","52","武家坡2021","龍猛寺寬度"
"619f81f7a85a684884698d13","53","老茧","简弘亦"
"619f81f7a85a684884698d14","54","飞","Matt吕彦良"
"619f81f7a85a684884698d15","55","IM NOT OK","XMASwu"
"619f81f7a85a684884698d16","56","SOMEBODY","keshi"
"619f81f7a85a684884698d17","57","忘了吧","痛仰乐队"
"619f81f7a85a684884698d18","58","无痕","王珂"
"619f81f7a85a684884698d19","59","Bounce","小黑HEYPER"
"619f81f7a85a684884698d1a","60","爱的代价","打倒三明治"
"619f81f7a85a684884698d1b","61","恋爱画板","锦零"
"619f81f7a85a684884698d1c","62","爱情慢慢来","Stake/TwoP"
"619f81f7a85a684884698d1d","63","哈哈哈","孟慧圆"
"619f81f7a85a684884698d1e","64","BOY - (TV动画《国王排名》片头曲)","King Gnu"
"619f81f7a85a684884698d1f","65","这世界那么多人 - (电影《我要我们在一起》主题曲)","莫文蔚"
"619f81f7a85a684884698d20","66","Exanganlirim","Yusup Sahra"
"619f81f7a85a684884698d21","67","影子","王理文"
"619f81f7a85a684884698d22","68","姐姐我可以（热拉表情包推广主题曲）","银河系长/the L热拉"
"619f81f7a85a684884698d23","69","ラストシーン - (日剧《日本沉没-希望之人-》主题曲)","菅田将暉"
"619f81f7a85a684884698d24","70","冰面","樊音/GRK陈梓杰"
"619f81f7a85a684884698d25","71","飘浮","九姨太"
"619f81f7a85a684884698d26","72","烟火过后","卞子严"
"619f81f7a85a684884698d27","73","Control The World - (电影《空中大灌篮2：新传奇》原声)","24kGoldn/Lil Wayne"
"619f81f7a85a684884698d28","74","evermore (feat. Bon Iver)","Taylor Swift/Bon Iver"
"619f81f7a85a684884698d29","75","Happier Than Ever","Billie Eilish"
"619f81f7a85a684884698d2a","76","Shym (Beknur Remix) - (SHYM（贝努尔混音）-希扎)","Shiza"
"619f81f7a85a684884698d2b","77","Ex ***** Hate Me V2（Prod.by Jaden's Mind）","苏小克"
"619f81f7a85a684884698d2c","78","イージーゲーム - (Easy Game)","natsumi/和ぬか"
"619f81f7a85a684884698d2d","79","时光背面的我","刘至佳/韩瞳"
"619f81f7a85a684884698d2e","80","Lonely","Justin Bieber/Benny Blanco"
"619f81f7a85a684884698d2f","81","危险派对","王以太/刘至佳"
"619f81f7a85a684884698d30","82","爱就一个字","Alaric的窗台"
"619f81f7a85a684884698d31","83","Ordinaries feat.古川亮","古川本舗"
"619f81f7a85a684884698d32","84","MONTERO (Call Me By Your Name)","Lil Nas X"
"619f81f7a85a684884698d33","85","Physical","Dua Lipa"
"619f81f7a85a684884698d34","86","不能说的秘密 (@歌手)","曹杨Young"
"619f81f7a85a684884698d35","87","Come Around Me","Justin Bieber"
"619f81f7a85a684884698d36","88","Body","Megan thee Stallion"
"619f81f7a85a684884698d37","89","雪どけ - (雪融)","Awesome City Club"
"619f81f7a85a684884698d38","90","这城市的你我","高宇Slient"
"619f81f7a85a684884698d39","91","Kiss Me More","Doja Cat/SZA"
"619f81f7a85a684884698d3a","92","删了吧（DJ版）","烟(许佳豪)"
"619f81f7a85a684884698d3b","93","无数次被你解救的生活","帆布小镇（Canvas Townlet）"
"619f81f7a85a684884698d3c","94","奇術 - (奇术)","みゆな"
"619f81f7a85a684884698d3d","95","别怕我伤心 - (一颗爱你的心)","悦开心i/张家旺"
"619f81f7a85a684884698d3e","96","终挣不脱岁月追赶","Forest龙楠林/NickTheWorld"
"619f81f7a85a684884698d3f","97","Shine","The fin."
"619f81f7a85a684884698d40","98","路过人间的情书","陈恒媛"
"619f81f7a85a684884698d41","99","奢香夫人 (Live)","凤凰传奇"
"619f81f7a85a684884698d42","100","时光洪流","程响"
